L,P,a,Deflection
7.49448142616835,39.363552027744205,2.8949438279597284,54.98235188481109
14.408571676918994,47.34356593750214,5.037537604443124,200.23791657160385
11.783927301736862,85.45473932021804,2.45740277405204,86.0077510336417
10.18390181036444,34.00043860598922,6.075104817436697,209.1417896738986
4.872223685309239,86.96496848121713,2.3336087557041583,78.93128709369701
4.871934244034431,8.813443097669149,4.039471190839833,23.96863957360058
3.6970033460183935,77.67984372086308,0.2916884711341943,1.1015282029857114
13.394113749299223,84.75476330547363,8.431341922543982,1004.1677487021615
10.213380140918506,18.181765283733874,7.523727238939347,171.53426325876697
11.496870933552547,43.03465323722004,8.433390702229762,510.1189993222696
3.2470139315496294,16.54997746636556,2.7517357605658375,20.88620864043614
14.638918225943932,70.66041289942177,10.336984722008518,1258.3824977889108
12.98931168960506,53.534776806165674,11.495918256024504,1179.158212287742
5.548069328139314,63.5323346708321,1.9384451568494272,39.78786183919411
5.181899606485207,19.648696695621116,2.6059175911042844,22.23841617877152
5.200854118241206,21.17458620524195,0.3259463532035046,0.3749349576541336
6.650906915514453,4.149732550990636,0.3741921847354022,0.09684078083022432
9.297077179586854,32.20675351957297,2.4740820098693685,32.856695422315845
8.18334022370539,55.97446613336749,1.1516126432538172,12.37233179559137
6.4947496823765025,85.79349139973289,1.8457444134451668,48.713150335290585
10.342234736668553,66.69274474586807,2.1650327163426777,52.10222472911493
4.673926327824502,43.53963233997514,0.35366676185843515,0.9076574970742455
6.505735782422618,95.31201143941378,5.649410059262312,506.99372283215035
7.3963421195243,71.92452005758318,0.4245560897176517,2.1607069632796674
8.47283981060443,93.016520286255,6.0366774773031215,564.9431992235006
12.422111536716162,52.75879732721657,2.3221037960867292,47.41403254142154
5.396085385900317,25.89042747931396,4.700026307966686,95.32099093438298
9.170813260963339,5.282668636472199,7.827439020960801,53.94379612474158
10.10897482634451,72.60848514838504,6.4546919461254,504.1818017686952
3.5574049526399727,12.130299800553413,2.3301384320829532,10.977001666219447
10.290538222817261,30.277512827196716,0.5639752912053781,1.605051976408454
5.046289484247499,53.24709078838974,4.7252667988844665,198.15147237859347
3.780619115823354,56.441658777974766,3.175906605205705,94.88202905426118
